team,player,position,captain
連莊,劉鴻杰,中間手,0
連莊,呂姜耀凱,中間手,0
連莊,劉鴻敏,主攻手,0
連莊,吳欣翰,主攻手,0
連莊,林國鈞,舉球員,0
連莊,盧清銓,舉球員,0
連莊,林冠洲,主攻手,0
連莊,呂慶鴻,自由球員,0
連莊,汪秉勳,中間手,0
連莊,張昀亮,自由球員,1
連莊,簡名均,副攻手,0
連莊,黃謙巽,主攻手,0
連莊,陳冠銘,副攻手,0
連莊,宋柏霆,主攻手,0
高雄台電女排,胡曉佩,中間手,0
高雄台電女排,李怡萱,自由球員,0
高雄台電女排,曾琬羚,中間手,0
高雄台電女排,李諭,副攻手,1
高雄台電女排,郭覲儀,主攻手,0
高雄台電女排,陳姿雅,主攻手,0
高雄台電女排,黃芯瑜,中間手,0
高雄台電女排,李姿瑩,主攻手,0
高雄台電女排,許菀芸,自由球員,0
高雄台電女排,洪家瑤,舉球員,0
高雄台電女排,彭𦀡媃,主攻手,0
高雄台電女排,劉煜淳,舉球員,0
高雄台電女排,許惠瑩,主攻手,0
高雄台電女排,廖嘉蓉,中間手,0
高雄台電女排,黃瀞萱,副攻手,0
台北鯨華,Gabi,中間手,0
台北鯨華,陳莉鎔,舉球員,0
台北鯨華,吳芳妤,主攻手,0
台北鯨華,陳莉鈞,主攻手,0
台北鯨華,林書荷,主攻手,0
台北鯨華,陳佳蔓,舉球員,0
台北鯨華,甘可慧,中間手,0
台北鯨華,陳潔,副攻手,0
台北鯨華,Flavio,副攻手,0
台北鯨華,廖苡任,舉球員,1
台北鯨華,蔡沁瑤,中間手,0
台北鯨華,陳怡伶,自由球員,0
台北鯨華,王育文,中間手,0
台北鯨華,邱詩晴,自由球員,0
台北鯨華,張芷瑄,主攻手,0
極速超跑,葉軒岑,中間手,0
極速超跑,欒妤雯,舉球員,0
極速超跑,丁柔安,自由球員,0
極速超跑,陳怡如,中間手,0
極速超跑,高歆媛,主攻手,0
極速超跑,江思萳,中間手,0
極速超跑,蔡幼群,主攻手,0
極速超跑,吳詠涵,主攻手,0
極速超跑,陳菀婷,副攻手,1
極速超跑,Carla,主攻手,0
極速超跑,黃素琴,自由球員,0
極速超跑,Aleoscar,中間手,0
極速超跑,詹佳茵,主攻手,0
新北中纖,Szerencsés,主攻手,0
新北中纖,林其蓉,自由球員,0
新北中纖,陳巧聆,舉球員,0
新北中纖,童琦芳,主攻手,0
新北中纖,謝靖瑩,舉球員,0
新北中纖,邱雅慧,中間手,1
新北中纖,陳盈綺,主攻手,0
新北中纖,劉美菁,中間手,0
新北中纖,葉于雯,中間手,0
新北中纖,林庭葳,中間手,0
新北中纖,黃蔓亞,副攻手,0
新北中纖,Vojnic,主攻手,0
新北中纖,龔詩雯,主攻手,0
新北中纖,陳亭汝,舉球員,0
新北中纖,張芷瑄,自由球員,0
愛山林,江辰翊,舉球員,0
愛山林,呂玟君,中間手,1
愛山林,黃珮甄,副攻手,0
愛山林,吳沛緹,主攻手,0
愛山林,蘇子倩,舉球員,0
愛山林,洪詩涵,主攻手,0
愛山林,江昀庭,自由球員,0
愛山林,吳閩育,自由球員,0
愛山林,張洵瑞,舉球員,0
愛山林,胡宸穎,中間手,0
愛山林,李子嫣,中間手,0
愛山林,吳佩茹,主攻手,0
愛山林,潘宣蓉,中間手,0
愛山林,潘宣妏,中間手,0
愛山林,廖嘉安,中間手,0
